para,p_index,mean,se_mean,sd,mode,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
alpha,1,0.724,7e-4,0.0765,0.7381,0.5718,0.6733,0.725,0.775,0.8705,10719.8743,0.9996
alpha,2,0.1765,4e-4,0.0552,0.1655,0.0811,0.1372,0.1723,0.2108,0.2991,16524.9958,0.9997
alpha,3,0.0717,2e-4,0.0224,0.0652,0.0354,0.0556,0.0691,0.0853,0.1223,13148.3932,1.0002
alpha,4,0.8916,7e-4,0.0699,0.9416,0.7345,0.8467,0.9021,0.9471,0.9923,11344.4191,0.9996
alpha,5,0.7249,0.0015,0.169,0.821,0.3443,0.6156,0.7418,0.8557,0.982,12536.2395,0.9999
alpha,6,0.9052,6e-4,0.0596,0.9315,0.7732,0.8669,0.9126,0.9519,0.9938,9635.6959,0.9997
alpha,7,0.9402,4e-4,0.0489,0.9843,0.8197,0.9149,0.9526,0.9779,0.9978,14750.0955,1
alpha,8,0.9333,5e-4,0.0508,0.9834,0.8075,0.9049,0.943,0.9735,0.9973,12321.4788,0.9997
alpha,9,0.1909,3e-4,0.0443,0.192,0.11,0.1599,0.1897,0.2194,0.2827,19551.878,0.9997
alpha,10,0.6364,8e-4,0.0885,0.6354,0.4597,0.5768,0.6374,0.6968,0.8053,13468.2328,1.0002
alpha,11,0.5759,8e-4,0.0867,0.594,0.3986,0.5176,0.5795,0.6369,0.7336,12859.7938,0.9997
alpha,12,0.2003,0.0034,0.2215,0.0352,0.0064,0.0325,0.0814,0.3429,0.7418,4143.2569,1.0003
alpha,13,0.562,0.003,0.2846,0.8991,0.0441,0.3243,0.5963,0.8101,0.9808,9059.9713,0.9999
alpha,14,0.1163,3e-4,0.0303,0.1127,0.063,0.0948,0.1143,0.1361,0.1797,11916.7547,0.9998
alpha,15,0.3554,7e-4,0.0884,0.3397,0.1978,0.293,0.3505,0.4126,0.5384,15051.4814,0.9997
alpha,16,0.2788,4e-4,0.0446,0.2699,0.2007,0.2475,0.2753,0.3069,0.3778,13223.4436,0.9996
alpha,17,0.3786,8e-4,0.0985,0.3587,0.199,0.31,0.3734,0.4436,0.5797,15181.3621,0.9996
